,Titulo,objetivo
0,Norm of the North: King Sized Adventure,"MovieAlanMarriott,AndrewToth,BrianDobson,ColeHoward,JenniferCameron,JonathanHolmes,LeeTockar,LisaDurupt,MayaKay,MichaelDobsonRichardFinn,TimMaltbyUnitedStates,India,SouthKorea,ChinaChildren&FamilyMovies,Comedies90minChildren&FamilyMovies,ComediesSepSepTV-PGMonday"
1,Jandino: Whatever it Takes,MovieJandinoAsporaatDiretorDesconhecidoUnitedKingdomStand-UpComedy94minStand-UpComedySepSepTV-MAFriday
2,Transformers Prime,"TV ShowPeterCullen,SumaleeMontano,FrankWelker,JeffreyCombs,KevinMichaelRichardson,TaniaGunadi,JoshKeaton,SteveBlum,AndyPessoa,ErnieHudson,DaranNorris,WillFriedleDiretorDesconhecidoUnitedStatesKids'TV1SeasonKids'TVSepSepTV-Y7-FVSaturday"
3,Transformers: Robots in Disguise,"TV ShowWillFriedle,DarrenCriss,ConstanceZimmer,KharyPayton,MitchellWhitfield,StuartAllan,TedMcGinley,PeterCullenDiretorDesconhecidoUnitedStatesKids'TV1SeasonKids'TVSepSepTV-Y7Saturday"
4,#realityhigh,"MovieNestaCooper,KateWalsh,JohnMichaelHiggins,KeithPowers,AliciaSanz,JakeBorelli,KidInk,YousefErakat,RebekahGraf,AnneWinters,PeterGilroy,PatrickDavisFernandoLebrijaUnitedStatesComedies99minComediesSepSepTV-14Friday"
5,Apaches,"TV ShowAlbertoAmmann,EloyAzorín,VerónicaEchegui,LucíaJiménez,ClaudiaTraisacDiretorDesconhecidoSpainCrimeTVShows,InternationalTVShows,Spanish-LanguageTVShows1SeasonCrimeTVShows,InternationalTVShows,Spanish-LanguageTVShowsSepSepTV-MAFriday"
6,Automata,"MovieAntonioBanderas,DylanMcDermott,MelanieGriffith,BirgitteHjortSørensen,RobertForster,ChristaCampbell,TimMcInnerny,AndyNyman,DavidRyallGabeIbáñezBulgaria,UnitedStates,Spain,CanadaInternationalMovies,Sci-Fi&Fantasy,Thrillers110minInternationalMovies,Sci-Fi&Fantasy,ThrillersSepSepRFriday"
7,Fabrizio Copano: Solo pienso en mi,"MovieFabrizioCopanoRodrigoToro,FranciscoSchultzChileStand-UpComedy60minStand-UpComedySepSepTV-MAFriday"
8,Fire Chasers,"TV ShowElencoDesconhecidoDiretorDesconhecidoUnitedStatesDocuseries,Science&NatureTV1SeasonDocuseries,Science&NatureTVSepSepTV-MAFriday"
9,Good People,"MovieJamesFranco,KateHudson,TomWilkinson,OmarSy,SamSpruell,AnnaFriel,ThomasArnold,OliverDimsdale,DianaHardcastle,MichaelJibson,DiarmaidMurtaghHenrikRubenGenzUnitedStates,UnitedKingdom,Denmark,SwedenAction&Adventure,Thrillers90minAction&Adventure,ThrillersSepSepRFriday"
